,Name,Year,Power,Seats,Car_Age,Kilometers_Driven
972,Tata Indigo CS eVX,2016,69.01,5.0,8,65000
973,Hyundai i20 Sportz 1.4 CRDi,2015,88.73,5.0,9,26000
974,Maruti Omni E MPI STD BS IV,2019,34.2,8.0,5,11571
975,Maruti Swift ZDi,2014,74.0,5.0,10,81000
976,Ford Ecosport Signature Edition Diesel,2019,98.96,5.0,5,23154
977,Honda Brio VX AT,2014,86.8,5.0,10,26856
978,Toyota Innova Crysta 2.4 GX MT,2017,147.8,7.0,7,67489
979,Mahindra Scorpio 2.6 LX,2008,120.0,8.0,16,176000
980,Hyundai i20 1.2 Magna,2010,80.0,5.0,14,18000
981,Hyundai Verna 1.6 SX,2014,126.32,5.0,10,63003
982,Mahindra XUV500 W6 2WD,2014,140.0,7.0,10,80000
983,Volkswagen Vento 1.5 TDI Comfortline,2014,108.5,5.0,10,56658
984,Maruti Swift Dzire VDI Optional,2019,74.0,5.0,5,18592
985,Tata Manza Aura Safire BS IV,2010,88.8,5.0,14,75695
986,Maruti Swift VDI,2012,74.0,5.0,12,82000
987,Volkswagen Polo Diesel Highline 1.2L,2013,73.9,5.0,11,60000
988,Honda City 1.5 V MT,2009,118.0,5.0,15,138000
989,Hyundai i20 Asta (o) 1.4 CRDi (Diesel),2014,90.0,5.0,10,67000
990,Honda City 1.5 V MT,2012,118.0,5.0,12,42750
991,Chevrolet Beat Diesel,2014,57.6,5.0,10,52398
992,Chevrolet Spark 1.0 LS,2014,62.1,5.0,10,36657
993,Tata New Safari DICOR 2.2 EX 4x2,2011,138.1,7.0,13,77000
994,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,2014,254.8,7.0,10,85000
995,BMW 5 Series 2003-2012 530d Highline,2008,235.0,5.0,16,112500
996,Toyota Fortuner 2.8 4WD MT,2013,174.5,7.0,11,105072
997,BMW X1 sDrive 18i,2012,150.0,5.0,12,80000
998,Renault Captur 1.5 Diesel Platine Mono,2019,108.45,5.0,5,3102
999,Hyundai Xcent 1.1 CRDi S,2016,71.0,5.0,8,14656
1000,BMW 3 Series 320d,2010,170.0,5.0,14,105000
1001,BMW 5 Series 2010-2013 525i,2008,215.0,5.0,16,61000
1002,Nissan Micra XE,2010,75.0,5.0,14,85046
1003,Jaguar XF 2.2 Litre Luxury,2014,187.7,5.0,10,48000
1004,Land Rover Range Rover TDV8 (Diesel),2011,308.0,7.0,13,55000
1005,Jeep Compass 1.4 Limited Option,2017,160.0,5.0,7,4000
1006,Honda CR-V 2.4 AT,2010,152.0,5.0,14,94000
1007,Maruti Swift VXI,2013,85.8,5.0,11,61110
1008,Hyundai Xcent 1.1 CRDi S,2016,71.0,5.0,8,80000
1009,Nissan Terrano XV Premium 110 PS,2015,108.5,5.0,9,43190
1010,Audi A4 35 TDI Technology,2015,187.74,5.0,9,45000
1011,Hyundai Grand i10 Asta Option,2016,82.0,5.0,8,44178
1012,Toyota Innova 2.5 G (Diesel) 8 Seater,2015,100.6,8.0,9,84415
1013,Hyundai i20 1.2 Magna,2015,80.0,5.0,9,35000
1014,Ford EcoSport 1.5 TDCi Titanium,2013,98.59,5.0,11,44000
1015,Honda City 1.5 S MT,2012,118.0,5.0,12,67635
1016,Ford EcoSport 1.5 Petrol Titanium Plus AT,2018,121.36,5.0,6,18385
1017,Volkswagen Polo Diesel Highline 1.2L,2014,73.9,5.0,10,35000
1018,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2010,170.0,5.0,14,49000
1019,Ford Ecosport 1.5 DV5 MT Titanium,2013,89.84,5.0,11,69000
1020,Tata Indigo GLE,2017,65.0,5.0,7,23228
1021,Maruti Swift Dzire LDI,2014,74.0,5.0,10,68462
1022,Maruti S-Cross Zeta DDiS 200 SH,2016,88.5,5.0,8,74611
1023,Renault Duster 110PS Diesel RxZ Pack,2014,108.45,5.0,10,90000
1024,Maruti Wagon R VXI,2016,67.1,5.0,8,22000
1025,Hyundai Santro Xing GL,2010,62.0,5.0,14,58163
1026,Chevrolet Beat Diesel LT,2011,57.6,5.0,13,109500
1027,Mahindra XUV500 W4 1.99 mHawk,2017,140.0,7.0,7,13363
1028,Hyundai i10 Era 1.1,2012,68.05,5.0,12,51000
1029,Tata New Safari DICOR 2.2 EX 4x4,2007,138.0,7.0,17,103000
1030,Hyundai i10 Sportz,2009,78.9,5.0,15,43002
1031,Toyota Innova Crysta 2.8 ZX AT,2016,171.5,7.0,8,108000
1032,Skoda Laura Elegance MT,2010,106.0,5.0,14,82407
1033,Hyundai Grand i10 Sportz,2013,82.0,5.0,11,29000
1034,Maruti Swift Dzire VDI,2014,74.0,5.0,10,45000
1035,Hyundai i20 Asta 1.4 CRDi (Diesel),2010,90.0,5.0,14,93401
1036,Ford Figo 2015-2019 1.5D Trend MT,2017,99.0,5.0,7,95802
1037,Maruti Ertiga VDI,2016,88.5,7.0,8,130000
1038,Maruti Ertiga ZDI,2013,88.8,7.0,11,67443
1039,Honda City 1.5 V AT Sunroof,2016,116.3,5.0,8,47681
1040,Maruti Alto LXi BSIII,2009,46.3,5.0,15,35000
1041,Ford Endeavour 3.2 Titanium AT 4X4,2016,197.0,7.0,8,68000
1042,Maruti Vitara Brezza ZDi Plus,2019,88.5,5.0,5,34688
1043,Porsche Boxster S tiptronic,2015,265.0,2.0,9,10512
1044,Maruti Swift ZDi,2016,74.0,5.0,8,58000
1045,Tata Zest Revotron 1.2 XT,2014,88.7,5.0,10,40000
1046,Hyundai i20 1.2 Sportz Option,2010,80.0,5.0,14,61000
1047,Skoda Fabia 1.4 TDI Active,2009,70.0,5.0,15,86000
1048,Toyota Corolla Altis D-4D J,2015,87.2,5.0,9,45000
1049,Volkswagen Ameo 1.2 MPI Comfortline,2017,73.75,5.0,7,55000
1050,Hyundai Creta 1.6 VTVT S,2016,121.3,5.0,8,36855
1051,Hyundai i10 Magna 1.2,2013,78.9,5.0,11,46821
1052,Chevrolet Beat LS,2015,76.8,5.0,9,120000
1053,Jaguar XF 3.0 Litre S Premium Luxury,2012,270.9,5.0,12,29000
1054,Nissan Terrano XL,2014,102.5,5.0,10,40000
1055,Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,2013,174.33,5.0,11,60000
1056,Hyundai i10 Asta AT,2011,78.9,5.0,13,64984
1057,Maruti Alto K10 VXI AGS,2015,67.1,5.0,9,73204
1058,Audi Q7 4.2 TDI Quattro Technology,2014,335.2,7.0,10,50000
1059,Maruti Vitara Brezza VDi,2017,88.5,5.0,7,35000
1060,Hyundai EON D Lite Plus,2013,55.2,5.0,11,17729
1061,Mahindra XUV300 W8 Diesel,2012,115.0,5.0,12,97000
1062,Hyundai Verna CRDi 1.6 SX Option,2014,126.2,5.0,10,89614
1063,Maruti Wagon R VXI,2015,67.1,5.0,9,14000
1064,Hyundai i20 Sportz Option,2012,80.0,5.0,12,50000
1065,Honda City i VTEC V,2014,117.3,5.0,10,62505
1066,Toyota Innova 2.5 V Diesel 7-seater,2011,102.0,7.0,13,248000
1067,Hyundai Verna CRDi SX,2012,110.0,5.0,12,94900
1068,Tata Hexa XT,2017,153.86,7.0,7,55000
1069,Audi Q7 3.0 TDI Quattro Premium Plus,2015,241.4,7.0,9,53735
1070,Maruti Wagon R VXI,2008,67.1,5.0,16,53934
1071,BMW 5 Series 2013-2017 525d Luxury Line,2013,218.0,5.0,11,58500
1072,Honda Amaze EX i-Vtech,2014,86.7,5.0,10,48000
1073,Maruti Alto 800 2016-2019 LXI,2016,47.3,5.0,8,24000
1074,Hyundai Verna 1.6 SX VTVT,2016,121.3,5.0,8,52001
1075,Tata Tiago 1.2 Revotron XZ,2018,84.0,5.0,6,9565
1076,Maruti Swift LXI,2013,85.8,5.0,11,32953
1077,Hyundai EON Era,2014,55.2,5.0,10,18000
1078,Mercedes-Benz E-Class E 220 d,2018,191.34,5.0,6,20446
1079,Hyundai i20 Magna 1.4 CRDi,2016,88.73,5.0,8,33016
1080,Toyota Etios VD,2012,67.05,5.0,12,48000
1081,Toyota Corolla Altis Diesel D4DG,2014,87.2,5.0,10,72022
1082,Mini Cooper 5 DOOR D,2014,113.98,5.0,10,34000
1083,Volkswagen Polo 1.5 TDI Highline,2014,88.8,5.0,10,69000
1084,Skoda Superb Elegance 1.8 TSI AT,2009,157.75,5.0,15,108000
1085,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,2013,170.0,5.0,11,34700
1086,Maruti Swift VDi BSIII W/ ABS,2015,75.0,5.0,9,79000
1087,Honda City i VTEC CVT VX,2016,117.3,5.0,8,58197
1088,BMW 7 Series 2007-2012 740Li,2008,321.0,5.0,16,66000
1089,Hyundai i10 Magna AT,2009,80.0,5.0,15,60000
1090,Maruti Swift Dzire VDI,2014,74.0,5.0,10,57000
1091,Honda City i DTec VX,2018,98.6,5.0,6,45555
1092,Maruti Omni 8 Seater BSIV,2016,35.0,5.0,8,55137
1093,Skoda Superb 2009-2014 Elegance 2.0 TDI MT,2014,138.1,5.0,10,93325
1094,Maruti Ertiga SHVS VDI,2018,88.5,7.0,6,38000
1095,Hyundai Grand i10 CRDi Magna,2016,70.0,5.0,8,57738
1096,Maruti Ciaz VDi Plus SHVS,2017,88.5,5.0,7,38282
1097,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2014,170.0,5.0,10,64000
1098,Fiat Avventura MULTIJET Emotion,2015,91.72,5.0,9,32000
1099,Mercedes-Benz E-Class 2009-2013 E 250 Elegance,2010,204.0,5.0,14,83000
1100,Volkswagen Vento Petrol Highline,2012,103.6,5.0,12,67200
1101,BMW 3 Series 320d Luxury Line,2013,184.0,5.0,11,62655
1102,BMW 5 Series 2013-2017 530d M Sport,2015,258.0,5.0,9,16900
1103,Hyundai Grand i10 1.2 Kappa Magna,2017,81.86,5.0,7,8471
1104,Toyota Innova Crysta 2.8 ZX AT,2016,171.5,7.0,8,69000
1105,Renault Duster 110PS Diesel RxZ AMT,2017,108.45,5.0,7,30090
1106,Tata Indica Vista Aura 1.3 Quadrajet,2011,75.0,5.0,13,120000
1107,Mercedes-Benz E-Class 2009-2013 E 200 CGI Avantgarde,2016,185.0,5.0,8,35939
1108,Mahindra XUV500 W8 4WD,2013,140.0,7.0,11,116694
1109,Mahindra Bolero ZLX,2016,62.1,7.0,8,40448
1110,Maruti Vitara Brezza ZDi,2018,88.5,5.0,6,64456
1111,Fiat Avventura MULTIJET Emotion,2014,91.72,5.0,10,52782
1112,Honda Amaze S Petrol,2016,88.76,5.0,8,51672
1113,Skoda Superb Elegance 1.8 TSI AT,2015,157.75,5.0,9,56073
1114,Jaguar XF 3.0 Litre S Premium Luxury,2011,270.9,5.0,13,65000
1115,Maruti Wagon R VXI BSIII,2013,67.1,5.0,11,79000
1116,Toyota Corolla Altis VL,2010,138.1,5.0,14,70200
1117,Maruti Swift VXi BSIV,2016,85.0,5.0,8,42000
1118,Volkswagen Polo 1.2 MPI Highline,2014,74.0,5.0,10,62000
1119,Hyundai Grand i10 1.2 Kappa Asta,2017,81.86,5.0,7,20000
1120,Maruti SX4 ZDI,2011,88.8,5.0,13,80000
1121,Hyundai Grand i10 1.2 Kappa Magna,2018,81.86,5.0,6,50234
1122,Maruti Baleno Delta 1.2,2016,83.1,5.0,8,50003
1123,Tata Tigor 1.2 Revotron XTA,2018,84.0,5.0,6,1000
1124,Maruti Swift Dzire AMT ZDI,2016,74.0,5.0,8,54897
1125,Tata Indica GLS BS IV,2007,65.3,5.0,17,108995
1126,Maruti SX4 S Cross DDiS 320 Zeta,2015,118.0,5.0,9,73000
1127,Maruti Swift VXI BSIII,2008,88.2,5.0,16,65000
1128,Hyundai Xcent 1.2 Kappa SX,2016,82.0,5.0,8,32000
1129,Hyundai i20 1.2 Magna,2010,80.0,5.0,14,65000
1130,Maruti Celerio VXI AT,2016,67.04,5.0,8,21600
1131,Mercedes-Benz New C-Class C 220 CDI Elegance AT,2010,170.0,5.0,14,39000
1132,Maruti Swift Dzire VXi,2011,85.8,5.0,13,58075
1133,Volkswagen Vento Petrol Trendline,2011,103.6,5.0,13,58000
1134,Maruti Swift ZDi,2015,74.0,5.0,9,58000
1135,Toyota Corolla Altis VL,2008,138.1,5.0,16,89000
1136,Honda Civic 2006-2010 1.8 V MT,2008,130.0,5.0,16,72000
1137,Ford EcoSport 1.5 Ti VCT AT Titanium BE,2017,110.4,5.0,7,1800
1138,Fiat Linea Emotion Pack (Diesel),2010,93.0,5.0,14,172050
1139,Hyundai i10 Era,2013,68.05,5.0,11,46230
1140,Volvo XC60 D5 Inscription,2014,215.0,5.0,10,86925
1141,Hyundai i20 1.2 Asta,2018,81.83,5.0,6,5000
1142,Honda City i DTEC S,2014,98.6,5.0,10,66000
1143,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,2013,100.0,8.0,11,119000
1144,Renault KWID RXT,2016,53.3,5.0,8,45000
1145,Maruti A-Star Vxi,2009,66.1,5.0,15,66149
1146,Mercedes-Benz B Class B180,2014,120.7,5.0,10,42070
1147,Maruti Wagon R LXI BS IV,2012,67.1,5.0,12,35503
1148,Maruti Swift VDI BSIV,2016,74.0,5.0,8,41460
1149,Hyundai Verna VTVT 1.6 AT SX Option,2015,121.3,5.0,9,40600
1150,Hyundai Verna CRDi 1.6 AT SX Option,2013,126.2,5.0,11,87000
1151,Honda City V MT,2014,116.3,5.0,10,30000
1152,Hyundai i10 Magna Optional 1.1L,2010,66.7,5.0,14,27089
1153,Toyota Etios GD SP,2016,67.04,5.0,8,53702
1154,Volvo S60 D4 Momentum,2015,190.0,5.0,9,51000
1155,Ford Figo Diesel EXI,2012,68.05,5.0,12,36542
1156,Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,2017,265.0,5.0,7,15000
1157,BMW 3 Series 320d Luxury Line,2012,190.0,5.0,12,65000
1158,Maruti Alto 800 VXI,2014,47.3,5.0,10,32000
1159,Toyota Innova Crysta 2.4 VX MT,2017,147.8,7.0,7,24393
1160,Volkswagen Polo 1.0 MPI Trendline,2019,75.0,5.0,5,1000
1161,Nissan Terrano XL,2014,102.5,5.0,10,28238
1162,Mitsubishi Pajero Sport 4X4,2013,175.56,7.0,11,59000
1163,Honda Civic 2010-2013 1.8 S MT,2012,130.2,5.0,12,92000
1164,Maruti Alto 800 LXI,2013,47.3,5.0,11,56840
1165,Volkswagen Vento Diesel Highline,2013,103.6,5.0,11,62746
1166,Land Rover Freelander 2 HSE,2012,187.74,5.0,12,96000
1167,Honda CR-V 2.0L 2WD MT,2014,153.86,5.0,10,24000
1168,Maruti Ertiga VDI,2016,88.76,7.0,8,54000
1169,Toyota Innova 2.5 GX (Diesel) 7 Seater,2016,100.6,7.0,8,90000
1170,Tata Manza Aura Safire,2010,90.0,5.0,14,40000
1171,Audi Q7 35 TDI Quattro Premium Plus,2015,241.4,7.0,9,65938
1172,Hyundai Verna 1.6 SX VTVT (O) AT,2017,121.4,5.0,7,16100
1173,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2017,108.5,5.0,7,3600
1174,Honda City 1.5 S MT,2011,118.0,5.0,13,52000
1175,Ford Figo Diesel Titanium,2014,68.05,5.0,10,54000
1176,Honda Jazz 1.2 VX i VTEC,2016,88.7,5.0,8,15399
1177,Volkswagen Polo Petrol Highline 1.2L,2012,73.9,5.0,12,75000
1178,Honda City i-VTEC S,2010,117.3,5.0,14,76752
1179,Honda City ZX GXi,2005,78.0,5.0,19,56000
1180,Honda CR-V 2.4L 4WD AT AVN,2013,187.4,5.0,11,46125
1181,BMW 5 Series 2013-2017 520d Luxury Line,2014,190.0,5.0,10,35000
1182,Ambassador Classic Nova Diesel,2003,35.5,5.0,21,80000
1183,Mahindra Scorpio VLX 2.2 mHawk BSIII,2012,120.0,8.0,12,62729
1184,Volkswagen Vento Diesel Comfortline,2012,103.6,5.0,12,34000
1185,Maruti Zen VX,1999,60.0,5.0,25,70000
1186,Maruti 800 DX BSII,2009,37.0,4.0,15,32000
1187,Toyota Corolla Altis 1.8 VL CVT,2017,138.03,5.0,7,21000
1188,BMW 3 Series 328i Sport Line,2013,245.0,5.0,11,49000
1189,Ford Ikon 1.3 Flair,2007,70.0,5.0,17,40000
1190,Chevrolet Beat LT,2012,79.4,5.0,12,78000
1191,Toyota Corolla Altis 1.4 DG,2012,86.79,5.0,12,52000
1192,Mahindra XUV500 W4,2014,140.0,7.0,10,65213
1193,Hyundai Xcent 1.1 CRDi Base,2016,71.0,5.0,8,170000
1194,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,2017,204.0,5.0,7,36884
1195,Hyundai i10 Sportz,2009,78.9,5.0,15,62500
1196,Toyota Corolla Altis VL AT,2015,138.03,5.0,9,68000
1197,Toyota Corolla 1.8 J,2014,138.0,5.0,10,40748
1198,Audi Q3 2.0 TDI Quattro,2013,184.0,5.0,11,60000
1199,Hyundai i20 Magna Optional 1.4 CRDi,2014,88.8,5.0,10,12400
1200,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2013,167.62,5.0,11,87000
1201,Maruti Ritz VDi,2013,73.9,5.0,11,20248
1202,Hyundai Creta 1.6 SX Plus Diesel,2017,126.2,5.0,7,52383
1203,Jaguar XE 2.0L Diesel Prestige,2018,177.0,5.0,6,1000
1204,Mahindra Xylo D4,2016,93.7,7.0,8,85000
1205,Toyota Innova 2.5 G (Diesel) 7 Seater,2014,100.6,7.0,10,47000
1206,Toyota Camry 2.5 Hybrid,2018,157.7,5.0,6,17585
1207,Audi Q5 3.0 TDI Quattro,2018,241.4,5.0,6,32496
1208,Maruti Swift VDI,2017,74.0,5.0,7,34613
1209,Maruti Ertiga VDI Limited Edition,2015,88.76,7.0,9,153000
1210,Maruti Swift VXi BSIV,2014,85.0,5.0,10,54000
1211,Hyundai i10 Sportz,2015,78.9,5.0,9,16900
1212,Hyundai i10 Sportz,2013,78.9,5.0,11,62334
1213,Maruti Baleno Sigma 1.2,2018,83.1,5.0,6,23714
1214,Hyundai Accent Executive,2010,93.7,5.0,14,52325
1215,Honda Brio S MT,2012,86.8,5.0,12,50000
1216,Maruti Swift ZDi,2016,74.0,5.0,8,55746
1217,Hyundai Xcent 1.2 VTVT S,2014,81.86,5.0,10,54000
1218,Mahindra XUV500 W8 2WD,2013,140.0,7.0,11,43000
1219,Mercedes-Benz E-Class E250 CDI Avantgrade,2014,201.1,5.0,10,40000
1220,Land Rover Freelander 2 TD4 S,2010,115.0,5.0,14,125000
1221,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2016,170.0,5.0,8,51944
1222,Hyundai i20 Asta 1.4 CRDi,2015,88.76,5.0,9,46950
1223,Skoda Octavia Elegance 2.0 TDI AT,2015,141.0,5.0,9,23000
1224,Honda City 1.5 S MT,2014,118.0,5.0,10,54546
1225,Toyota Fortuner 4x2 AT,2015,168.5,7.0,9,51535
1226,Audi Q3 2.0 TDI Quattro,2013,184.0,5.0,11,45000
1227,Maruti Alto K10 2010-2014 VXI,2012,67.1,5.0,12,46004
1228,Tata Indigo eCS LX BSIV,2011,69.0,5.0,13,124000
1229,Audi A4 2.0 TDI 177 Bhp Premium Plus,2014,174.33,5.0,10,77395
1230,Honda City i-VTEC CVT VX,2018,117.3,5.0,6,22974
1231,Toyota Fortuner 2.8 2WD MT,2015,174.5,7.0,9,65012
1232,Hyundai Grand i10 Sportz,2017,82.0,5.0,7,17125
1233,Maruti Eeco 7 Seater Standard,2015,73.0,7.0,9,90413
1234,Volkswagen Polo Petrol Highline 1.2L,2013,73.9,5.0,11,37000
1235,Maruti Wagon R LXI Minor,2006,67.0,5.0,18,65000
1236,Honda City 1.5 V MT,2011,118.0,5.0,13,66000
1237,Honda Civic 2010-2013 1.8 S MT,2010,130.2,5.0,14,86000
1238,Honda City 1.5 EXI,2005,100.0,5.0,19,98437
1239,Hyundai i20 1.2 Magna,2010,80.0,5.0,14,18000
1240,Hyundai Grand i10 CRDi Sportz Celebration Edition,2018,70.0,5.0,6,35070
1241,Volkswagen Vento Petrol Highline AT,2011,103.6,5.0,13,42000
1242,Hyundai i10 Sportz 1.2,2009,78.9,5.0,15,40000
1243,Hyundai i20 Asta,2009,80.0,5.0,15,43000
1244,Chevrolet Beat LS,2012,79.4,5.0,12,65000
1245,Volkswagen Polo Diesel Highline 1.2L,2013,73.9,5.0,11,74000
1246,Ford Figo Petrol LXI,2010,70.0,5.0,14,51192
1247,Audi TT 2.0 TFSI,2014,207.8,2.0,10,14262
1248,Honda City i DTEC VX,2015,98.6,5.0,9,66339
1249,Ford Figo Diesel Titanium,2013,68.05,5.0,11,90200
1250,Toyota Innova 2.5 ZX Diesel 7 Seater,2015,100.6,7.0,9,57854
1251,Maruti Ciaz 1.4 AT Alpha,2017,91.1,5.0,7,32000
1252,Hyundai Grand i10 AT Asta,2015,82.0,5.0,9,29631
1253,Honda City 1.3 DX,2009,74.0,5.0,15,55005
1254,Ford EcoSport 1.0 Ecoboost Titanium Plus BE,2014,123.24,5.0,10,54173
1255,Skoda Octavia Ambition 1.8 TSI AT,2014,177.6,5.0,10,50000
1256,Fiat Linea Emotion (Diesel),2010,91.7,5.0,14,145000
1257,Maruti Swift Lxi BSIII,2015,88.2,5.0,9,78000
1258,Land Rover Discovery 4 TDV6 SE,2013,180.0,7.0,11,65000
1259,Toyota Innova 2.5 V Diesel 7-seater,2012,102.0,7.0,12,120000
1260,Maruti Swift LDI,2015,74.0,5.0,9,14000
1261,Audi A6 2011-2015 2.0 TDI Premium Plus,2014,174.33,5.0,10,57456
1262,BMW 5 Series 520d Luxury Line,2012,190.0,5.0,12,44450
1263,Hyundai i20 Magna Optional 1.2,2013,82.9,5.0,11,63777
1264,BMW X1 M Sport sDrive 20d,2016,190.0,5.0,8,31000
1265,Toyota Etios G,2012,88.73,5.0,12,60000
1266,Tata Indigo LX,2015,70.0,5.0,9,78008
1267,Mercedes-Benz M-Class ML 350 4Matic,2014,165.0,5.0,10,33000
1268,Volkswagen Beetle 2.0,2009,114.4,4.0,15,27078
1269,Volkswagen Polo GT TDI,2011,103.6,5.0,13,57275
1270,Hyundai Grand i10 CRDi Magna,2014,70.0,5.0,10,45000
1271,Maruti Swift VDI BSIV,2014,74.0,5.0,10,57319
1272,Hyundai Verna CRDi 1.4 E,2008,88.76,5.0,16,121097
1273,BMW 5 Series 2003-2012 525d,2011,218.0,5.0,13,89000
1274,Honda City 1.5 S MT,2012,118.0,5.0,12,72000
1275,Audi A4 2.0 TDI,2013,147.51,5.0,11,36000
1276,Fiat Linea Classic Plus 1.3 Multijet,2013,75.0,5.0,11,86000
1277,Honda City 1.3 EXI,2002,90.0,5.0,22,85000
1278,BMW 3 Series 320d Luxury Line,2013,190.0,5.0,11,37613
1279,Ford Fiesta 1.4 Duratec EXI,2007,68.0,5.0,17,100000
1280,Tata Nano XTA,2016,37.48,4.0,8,5240
1281,Maruti Ignis 1.2 Delta,2019,81.8,5.0,5,16862
1282,Maruti Swift Dzire ZXi,2013,85.8,5.0,11,59254
1283,Ford Ecosport 1.5 DV5 MT Titanium,2014,89.84,5.0,10,60000
1284,Maruti Swift 1.3 ZXI,2015,74.0,5.0,9,50295
1285,Maruti Swift Dzire VXI,2014,85.8,5.0,10,47674
1286,Hyundai i10 Sportz AT,2014,78.9,5.0,10,61517
1287,Mahindra XUV500 W6 2WD,2016,140.0,7.0,8,62946
1288,Hyundai i20 Magna 1.4 CRDi,2015,88.73,5.0,9,66823
1289,Hyundai i20 Asta 1.4 CRDi,2012,88.76,5.0,12,107000
1290,BMW 7 Series 730Ld,2011,258.0,5.0,13,55000
1291,Skoda Rapid 1.6 MPI AT Style Plus,2017,103.52,5.0,7,24000
1292,Audi Q7 45 TDI Quattro Technology,2016,245.0,7.0,8,20002
1293,Honda City i VTEC VX,2016,117.3,5.0,8,54317
1294,Hyundai Xcent 1.2 Kappa SX,2016,82.0,5.0,8,10200
1295,Honda City i DTec E,2016,98.6,5.0,8,24337
1296,Honda Brio S Option MT,2012,86.8,5.0,12,79000
1297,Maruti Ciaz ZDi Plus SHVS,2015,88.5,5.0,9,40500
1298,Maruti Swift Dzire VDI Optional,2016,74.0,5.0,8,23000
1299,Honda CR-V 2.4L 4WD AT,2015,158.8,5.0,9,63050
1300,Toyota Corolla Altis 2008-2013 1.8 VL AT,2008,138.1,5.0,16,78000
1301,Honda City 1.5 V MT,2012,118.0,5.0,12,66245
1302,Mahindra Scorpio LX BS IV,2007,120.0,9.0,17,74112
1303,Skoda Laura 1.8 TSI Ambiente,2011,157.8,5.0,13,87670
1304,BMW 3 Series 320d Sport Line,2015,184.0,5.0,9,10000
1305,Maruti SX4 Zxi BSIII,2007,104.68,5.0,17,62493
1306,Maruti Ciaz VXi Plus,2015,91.1,5.0,9,44620
1307,Land Rover Range Rover 3.6 TDV8 Vogue SE Diesel,2012,308.0,7.0,12,66538
1308,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,100.0,7.0,11,60000
1309,Hyundai Santro Xing GL,2011,62.0,5.0,13,20842
1310,Hyundai Santa Fe 4WD AT,2014,194.3,7.0,10,110000
1311,Mercedes-Benz New C-Class C250 Avantgarde,2011,186.0,5.0,13,45000
1312,Maruti Alto LXi,2012,46.3,5.0,12,49008
1313,Maruti Alto 800 2016-2019 LXI,2016,47.3,5.0,8,31000
1314,Nissan Sunny 2011-2014 XV,2013,97.7,5.0,11,8000
1315,Maruti Alto 800 2016-2019 VXI,2019,47.3,5.0,5,171
1316,Maruti Alto K10 VXI,2018,67.1,5.0,6,2100
1317,Hyundai Grand i10 1.2 Kappa Sportz AT,2018,81.86,5.0,6,20667
1318,Honda Mobilio S i DTEC,2015,98.6,7.0,9,50000
1319,Tata Manza Aqua Quadrajet,2010,90.0,5.0,14,100030
1320,Chevrolet Optra Magnum 2.0 LT,2011,123.7,5.0,13,75372
1321,Honda City i VTEC CVT VX,2016,117.3,5.0,8,60475
1322,Hyundai Grand i10 1.2 Kappa Sportz,2019,81.86,5.0,5,18453
1323,Hyundai Verna CRDi 1.6 SX,2008,126.2,5.0,16,96578
1324,Nissan Micra XL,2016,75.0,5.0,8,31001
1325,Hyundai Verna 1.6 SX,2012,126.32,5.0,12,65900
1326,Hyundai Creta 1.6 VTVT E Plus,2017,121.3,5.0,7,26246
1327,Maruti Wagon R VXI BS IV,2013,67.04,5.0,11,62700
1328,Honda Accord 2.4 Elegance A/T,2008,180.0,5.0,16,90000
1329,Honda City 1.5 S AT,2016,118.0,5.0,8,36000
1330,Maruti Baleno Alpha 1.3,2016,74.0,5.0,8,46000
1331,Honda City i DTec V,2017,98.6,5.0,7,73003
1332,Hyundai i20 Era 1.4 CRDi,2014,88.76,5.0,10,46566
1333,Mercedes-Benz E-Class 2015-2017 E350 Edition E,2015,265.0,5.0,9,41493
1334,Nissan Terrano XV 110 PS,2014,108.5,5.0,10,103788
1335,Renault Duster 110PS Diesel RxZ AMT,2016,108.45,5.0,8,45000
1336,Maruti Wagon R LXI Minor,2009,67.1,5.0,15,120000
1337,Hyundai Getz 1.5 CRDi GVS,2009,110.0,5.0,15,97359
1338,Maruti Ritz LXi,2016,85.8,5.0,8,62000
1339,Honda City 1.5 GXI,2004,74.0,5.0,20,115000
1340,BMW 5 Series 520d Sport Line,2019,187.74,5.0,5,18373
1341,Volkswagen Polo 1.2 MPI Highline,2016,74.0,5.0,8,60453
1342,Ford Figo Petrol ZXI,2010,70.0,5.0,14,69009
1343,BMW 3 Series 320d Luxury Line,2013,184.0,5.0,11,30000
1344,Hyundai Verna 1.6 SX CRDi (O),2012,126.32,5.0,12,70707
1345,Renault Duster 85PS Diesel RxL,2015,83.8,5.0,9,64677
1346,Hyundai Grand i10 1.2 Kappa Magna AT,2018,81.86,5.0,6,3000
1347,BMW X1 sDrive20d,2013,184.0,5.0,11,49000
